page_number,link_text,guess_link_reducto_element,link_type,link_destination,named_destination,guess_destination_reducto_element
2,"PART A      OVERVIEW 
............................................................................................. 1",PART A OVERVIEW,internal,page 3,"Coordinates: Point(68.0, 83.91998)",PART A OVERVIEW
2,"1 
Introduction ............................................................................................. 1",1 Introduction,internal,page 3,"Coordinates: Point(68.0, 112.91998)",1 Introduction
2,"2 
Applicability ............................................................................................. 1",2 Applicability,internal,page 3,"Coordinates: Point(68.0, 671.92)",2.1 This policy document is applicable to all financial institutions as defined in paragraph 5.2.
2,"3 
Legal provisions ...................................................................................... 2",3 Legal provisions,internal,page 4,"Coordinates: Point(68.0, 83.91998)",3 Legal provisions
2,"4 
Effective date .......................................................................................... 2",4 Effective date,internal,page 4,"Coordinates: Point(68.0, 229.91999)",4 Effective date
2,"5 
Interpretation ........................................................................................... 2",5 Interpretation,internal,page 4,"Coordinates: Point(68.0, 291.91999)",5 Interpretation
2,"PART B      POLICY REQUIREMENTS 
..................................................................... 4",PART B POLICY REQUIREMENTS,internal,page 6,"Coordinates: Point(68.0, 83.91998)",PART B POLICY REQUIREMENTS
2,"6 
Responsibilities of the board and senior management 
............................ 4",6 Responsibilities of the board and senior management,internal,page 6,"Coordinates: Point(68.0, 112.91998)",6 Responsibilities of the board and senior management
2,"7 
Organisation of the compliance function ................................................. 6",7 Organisation of the compliance function,internal,page 8,"Coordinates: Point(68.0, 345.91999)",	- 7 Organisation of the compliance function
2,"8 
Responsibilities of the compliance function 
............................................. 8",8 Responsibilities of the compliance function,internal,page 10,"Coordinates: Point(68.0, 441.91999)",	- 8 Responsibilities of the compliance function
2,"9 
Responsibilities of the internal audit function ........................................ 10",9 Responsibilities of the internal audit function,internal,page 12,"Coordinates: Point(68.0, 524.92)",	- 9 Responsibilities of the internal audit function
3,5.2.,2.1 This policy document is applicable to all financial institutions as defined in paragraph 5.2.,internal,page 4,"Coordinates: Point(68.0, 381.91999)",- 5.2 For the purpose of this policy document-
4,8.4,"	- ""compliance function"" refers to officers carrying out compliance function responsibilities of a financial institution, as described in paragraphs 8.4 to 8.11, including the CCO;",internal,page 11,"Coordinates: Point(67.0, 179.91999)",- S 8.4 The compliance function must identify and assess the compliance risk associated with a financial institution's activities. This requires the compliance function to have adequate knowledge and exposure to key business processes of the financial institution and keep up with material changes in the financial institution's business.
4,"8.11,","	- ""compliance function"" refers to officers carrying out compliance function responsibilities of a financial institution, as described in paragraphs 8.4 to 8.11, including the CCO;",internal,page 12,"Coordinates: Point(67.0, 414.91999)",- S 8.11 The compliance function is responsible for ensuring that adequate training is provided to officers of a financial institution on relevant legal and regulatory requirements governing the financial institution's activities. Such training must be timely and must clearly explain how the requirements apply in the specific context of the financial institution's operations. The compliance function must be able to provide guidance to officers of the financial institution on the implementation of internal controls to manage compliance risk.
