Text,Type,Hash,Node Name,Content,Page Number,Location
"""Applicable to:""",Text,39a0e041afd9b1fe566bbedbc91722cf,Applicable to:_39a0e041afd9b1fe566bbedbc91722cf,"""Applicable to:""",1,"""{'left': 0.1200098842382431, 'top': 0.7450079321861267, 'width': 0.10008647292852402, 'height': 0.011507155373692513, 'page': 1}"""
"""TABLE OF CONTENTS""",Text,6bdf4f8d0c1635b7de048b69b0b09aba,TABLE OF CONTENTS_6bdf4f8d0c1635b7de048b69b0b09aba,"""TABLE OF CONTENTS""",2,"""{'left': 0.39031049609184265, 'top': 0.09617447853088379, 'width': 0.21677517890930176, 'height': 0.011192528530955315, 'page': 2}"""
"""1""",Text,cd1623e50cd69c6614404a64b3aad441,1_cd1623e50cd69c6614404a64b3aad441,"""1""",2,"""{'left': 0.8675492405891418, 'top': 0.13737352192401886, 'width': 0.007924465462565422, 'height': 0.010847470723092556, 'page': 2}"""
"""1 Introduction""",Text,2cd1bcffc9bbdd0e7e590bfb22c52c1f,1 Introduction_2cd1bcffc9bbdd0e7e590bfb22c52c1f,"""1 Introduction""",2,"""{'left': 0.15804968774318695, 'top': 0.15330812335014343, 'width': 0.17407754063606262, 'height': 0.011012141592800617, 'page': 2}"""
"""1""",Text,d705347cb196a5d2b05843043a90262a,1_d705347cb196a5d2b05843043a90262a,"""1""",2,"""{'left': 0.8678229451179504, 'top': 0.15337039530277252, 'width': 0.006993570830672979, 'height': 0.010864637792110443, 'page': 2}"""
"""2 Applicability""",Text,c21822c0338a1563d5e8100467df1bc2,2 Applicability_c21822c0338a1563d5e8100467df1bc2,"""2 Applicability""",2,"""{'left': 0.15655721724033356, 'top': 0.16992881894111633, 'width': 0.17809513211250305, 'height': 0.013642367906868458, 'page': 2}"""
"""1""",Text,cbfb94d070d1b3782abc36de7f98851b,1_cbfb94d070d1b3782abc36de7f98851b,"""1""",2,"""{'left': 0.8677799105644226, 'top': 0.17012114822864532, 'width': 0.007174327038228512, 'height': 0.010574057698249817, 'page': 2}"""
"""3 Legal provisions""",Text,fabbe7be4a8a55626bc1d90782d54852,3 Legal provisions_fabbe7be4a8a55626bc1d90782d54852,"""3 Legal provisions""",2,"""{'left': 0.15668326616287231, 'top': 0.18651063740253448, 'width': 0.2160826474428177, 'height': 0.013809580355882645, 'page': 2}"""
"""2""",Text,c8f40e13fbe2264f75a5966340cc0e46,2_c8f40e13fbe2264f75a5966340cc0e46,"""2""",2,"""{'left': 0.8661746382713318, 'top': 0.18658417463302612, 'width': 0.01078320574015379, 'height': 0.010621427558362484, 'page': 2}"""
"""4 Effective date""",Text,552896ac6f1046fe4f601afcdf5c6325,4 Effective date_552896ac6f1046fe4f601afcdf5c6325,"""4 Effective date""",2,"""{'left': 0.1562521606683731, 'top': 0.2027212530374527, 'width': 0.19286923110485077, 'height': 0.011242828331887722, 'page': 2}"""
"""2""",Text,2dac3744cc92cfe32e78e61ec8355ebc,2_2dac3744cc92cfe32e78e61ec8355ebc,"""2""",2,"""{'left': 0.8665282130241394, 'top': 0.20298588275909424, 'width': 0.010433696210384369, 'height': 0.010652475990355015, 'page': 2}"""
"""5 Interpretation""",Text,42c2c25fccac1b063f84600d5807f3ff,5 Interpretation_42c2c25fccac1b063f84600d5807f3ff,"""5 Interpretation""",2,"""{'left': 0.15667521953582764, 'top': 0.2187696397304535, 'width': 0.18900516629219055, 'height': 0.013814088888466358, 'page': 2}"""
"""2""",Text,769855001a54deb7843fec67cd54c22b,2_769855001a54deb7843fec67cd54c22b,"""2""",2,"""{'left': 0.8664547801017761, 'top': 0.21911361813545227, 'width': 0.010449781082570553, 'height': 0.010433060117065907, 'page': 2}"""
"""4""",Text,033b2f6c6d1b2a096fb8a8a9a3779f46,4_033b2f6c6d1b2a096fb8a8a9a3779f46,"""4""",2,"""{'left': 0.8662638664245605, 'top': 0.26017308235168457, 'width': 0.011484310030937195, 'height': 0.010643220506608486, 'page': 2}"""
"""6 Responsibilities of the board and senior management""",Text,2c517489527da348b5fc153b17b87057,6 Responsibilities of the board and senior managem..._2c517489527da348b5fc153b17b87057,"""6 Responsibilities of the board and senior management""",2,"""{'left': 0.1564912348985672, 'top': 0.27624446153640747, 'width': 0.5474012494087219, 'height': 0.014595463871955872, 'page': 2}"""
"""4""",Text,5f7113d9995eddff36eefadd44b93dee,4_5f7113d9995eddff36eefadd44b93dee,"""4""",2,"""{'left': 0.8659195303916931, 'top': 0.2765920162200928, 'width': 0.010908564552664757, 'height': 0.01072475966066122, 'page': 2}"""
"""7 Organisation of the compliance function""",Text,003d2a95aa3e44c56b28ca467f614446,7 Organisation of the compliance function_003d2a95aa3e44c56b28ca467f614446,"""7 Organisation of the compliance function""",2,"""{'left': 0.15659299492835999, 'top': 0.29271912574768066, 'width': 0.4239082634449005, 'height': 0.01439386885613203, 'page': 2}"""
"""6""",Text,da5d5222ec4c46295a97a7a2fe0b2f0d,6_da5d5222ec4c46295a97a7a2fe0b2f0d,"""6""",2,"""{'left': 0.8663208484649658, 'top': 0.29316410422325134, 'width': 0.010601421818137169, 'height': 0.010657320730388165, 'page': 2}"""
"""8 Responsibilities of the compliance function""",Text,39415dc21008fef7877cde99174cae62,8 Responsibilities of the compliance function_39415dc21008fef7877cde99174cae62,"""8 Responsibilities of the compliance function""",2,"""{'left': 0.15663670003414154, 'top': 0.30949676036834717, 'width': 0.44996121525764465, 'height': 0.014016114175319672, 'page': 2}"""
"""8""",Text,74982dcb75d7955ecf8b6552f5eddd5a,8_74982dcb75d7955ecf8b6552f5eddd5a,"""8""",2,"""{'left': 0.8665094375610352, 'top': 0.30980488657951355, 'width': 0.010313989594578743, 'height': 0.010700537823140621, 'page': 2}"""
"""9 Responsibilities of the internal audit function""",Text,baa81dc508fb8531ce35ede2c2246829,9 Responsibilities of the internal audit function_baa81dc508fb8531ce35ede2c2246829,"""9 Responsibilities of the internal audit function""",2,"""{'left': 0.15649645030498505, 'top': 0.3254132568836212, 'width': 0.46307021379470825, 'height': 0.013744228519499302, 'page': 2}"""
"""10""",Text,230bca22c9639154068b71936707a5a6,10_230bca22c9639154068b71936707a5a6,"""10""",2,"""{'left': 0.8564926385879517, 'top': 0.3255574107170105, 'width': 0.020762600004673004, 'height': 0.011087835766375065, 'page': 2}"""
